customer_id,product_id,location_id,sale_date,quantity,unit_price,discount_percent,tax_amount,total_amount,payment_method,order_status
492,153,15,2024-08-15,3,59.13,4.77,13.51,182.44,PayPal,Pending
912,176,9,2025-04-23,9,31.43,5.55,21.37,288.54,Bank Transfer,Completed
584,65,50,2024-08-04,1,161.46,19.82,10.36,139.82,Credit Card,Refunded
473,155,23,2025-07-02,6,404.88,6.73,181.26,2447.05,Bank Transfer,Completed
801,18,84,2025-03-15,4,57.73,14.42,15.81,213.43,Credit Card,Completed
266,122,31,2024-05-05,1,21.85,16.37,1.46,19.74,Cash,Pending
107,176,11,2024-02-14,7,216.63,13.08,105.45,1423.51,PayPal,Cancelled
18,79,76,2025-03-24,5,382.93,7.73,141.33,1907.98,PayPal,Pending
926,7,39,2025-07-11,2,17.34,7.38,2.57,34.69,Cash,Pending
975,71,10,2025-10-09,9,252.76,16.07,152.74,2062.02,Credit Card,Pending
815,64,49,2025-01-18,2,438.71,9.13,63.78,861.1,Credit Card,Completed
716,100,31,2024-12-04,3,388.79,12.4,81.74,1103.48,PayPal,Refunded
699,194,83,2024-01-16,5,412.46,7.1,153.27,2069.15,Debit Card,Pending
166,29,47,2025-08-18,9,112.4,12.25,71.01,958.69,Credit Card,Pending
12,168,9,2024-09-02,7,239.7,13.52,116.08,1567.13,Cash,Pending
837,147,84,2024-05-08,8,99.93,15.14,54.27,732.68,Cash,Completed
836,57,65,2025-11-20,2,438.1,16.66,58.42,788.64,Bank Transfer,Pending
105,24,38,2024-10-10,4,307.03,19.05,79.53,1073.7,PayPal,Completed
503,7,90,2024-11-12,2,394.41,19.14,51.03,688.87,Bank Transfer,Cancelled
277,149,20,2025-07-05,9,146.28,13.53,91.07,1229.47,Cash,Refunded
936,77,59,2025-08-21,4,373.41,14.41,102.27,1380.68,PayPal,Refunded
750,30,31,2026-01-18,8,443.53,11.81,250.34,3379.53,Cash,Refunded
128,14,87,2024-08-31,9,212.92,3.79,147.49,1991.15,Credit Card,Refunded
763,58,22,2024-04-04,9,107.16,4.0,74.07,999.93,Credit Card,Pending
787,120,15,2024-04-01,8,230.78,11.92,130.09,1756.26,Debit Card,Cancelled
754,1,1,2025-02-15,10,55.16,3.23,42.7,576.49,Bank Transfer,Refunded
351,114,61,2025-12-19,3,286.78,2.8,66.9,903.15,Credit Card,Refunded
14,19,80,2024-07-19,3,267.49,4.39,61.38,828.62,Credit Card,Pending
746,70,99,2024-05-05,3,385.32,6.06,86.87,1172.78,Credit Card,Cancelled
785,55,56,2024-04-24,7,59.09,5.83,31.16,420.68,PayPal,Pending
490,75,40,2024-08-23,8,409.47,15.98,220.18,2972.48,Credit Card,Pending
267,150,66,2024-09-09,7,123.18,0.39,68.71,927.61,Credit Card,Completed
766,184,44,2025-08-09,6,95.02,9.62,41.22,556.5,Debit Card,Pending
562,8,88,2025-09-19,5,215.96,9.44,78.23,1056.1,Credit Card,Pending
206,41,31,2025-09-10,4,229.51,17.29,60.74,820.06,Credit Card,Cancelled
723,163,55,2025-05-02,8,236.0,5.04,143.43,1936.27,Bank Transfer,Refunded
848,94,92,2025-05-28,1,130.07,17.25,8.61,116.24,PayPal,Refunded
204,169,90,2024-06-30,1,215.71,0.26,17.21,232.36,Bank Transfer,Pending
407,162,61,2025-02-16,9,358.82,19.95,206.81,2791.93,PayPal,Completed
349,115,18,2024-05-17,10,132.36,2.14,103.62,1398.9,Bank Transfer,Refunded
939,139,90,2025-06-13,6,49.54,8.84,21.68,292.64,Bank Transfer,Cancelled
138,148,41,2024-02-05,5,201.34,19.83,64.57,871.64,Credit Card,Completed
366,15,47,2024-10-03,2,281.25,4.45,43.0,580.47,PayPal,Pending
432,8,9,2025-03-14,7,170.86,12.58,83.64,1129.21,Bank Transfer,Cancelled
567,59,56,2024-05-15,10,394.38,17.53,260.2,3512.65,Credit Card,Pending
226,171,90,2025-01-22,7,35.54,4.99,18.91,255.28,Credit Card,Completed
396,104,27,2025-05-21,7,225.27,16.3,105.59,1425.45,Debit Card,Completed
243,122,91,2024-02-06,10,497.83,5.81,375.12,5064.19,Debit Card,Completed
614,158,77,2025-05-28,3,487.54,15.16,99.27,1340.16,PayPal,Completed
164,130,37,2025-02-07,10,221.57,4.51,169.26,2285.03,Bank Transfer,Completed
739,200,22,2024-03-23,3,140.52,3.57,32.52,439.03,PayPal,Refunded
441,90,14,2024-08-06,5,40.68,6.83,15.16,204.67,Credit Card,Cancelled
559,107,34,2025-08-21,7,371.5,16.93,172.82,2333.05,PayPal,Cancelled
995,189,82,2025-11-16,7,429.85,4.15,230.73,3114.8,Cash,Completed
522,65,38,2025-08-20,7,493.23,14.96,234.89,3170.99,Credit Card,Refunded
583,132,96,2024-07-08,3,243.98,2.7,56.97,769.15,PayPal,Refunded
111,77,4,2025-11-27,4,172.26,5.31,52.2,704.65,Cash,Pending
259,4,6,2024-08-14,2,470.55,19.52,60.59,817.99,Bank Transfer,Pending
893,19,63,2025-09-18,5,361.1,16.01,121.32,1637.75,Debit Card,Refunded
473,14,12,2024-09-27,3,193.77,13.9,40.04,540.55,PayPal,Pending
460,152,74,2025-12-12,1,291.44,13.21,20.24,273.18,Cash,Cancelled
613,77,52,2024-12-15,8,22.87,19.68,11.76,158.71,PayPal,Completed
459,115,29,2024-04-15,2,234.0,15.19,31.75,428.66,Credit Card,Refunded
406,35,19,2025-05-05,6,445.3,2.86,207.63,2803.02,PayPal,Pending
977,34,95,2025-03-12,10,302.29,19.95,193.59,2613.42,Cash,Cancelled
563,115,53,2025-12-05,2,401.68,12.08,56.51,762.82,Debit Card,Pending
748,71,42,2025-10-28,9,137.26,3.77,95.1,1283.87,Bank Transfer,Cancelled
884,94,78,2025-11-30,3,498.26,15.57,100.96,1363.01,PayPal,Completed
483,175,76,2024-07-12,1,210.77,9.0,15.34,207.14,Bank Transfer,Refunded
463,150,97,2024-05-28,8,164.97,12.4,92.49,1248.6,Credit Card,Cancelled
795,67,56,2024-11-25,1,231.47,17.43,15.29,206.41,Credit Card,Refunded
476,184,9,2025-02-15,5,400.28,12.91,139.44,1882.46,Cash,Refunded
578,78,37,2025-10-24,4,373.55,8.14,109.81,1482.38,Credit Card,Refunded
936,158,7,2024-07-05,6,352.24,8.84,154.13,2080.74,Bank Transfer,Cancelled
551,153,40,2024-03-30,7,105.54,5.37,55.93,755.04,Debit Card,Completed
26,18,97,2026-01-19,3,257.58,9.45,55.98,755.69,PayPal,Refunded
803,53,82,2024-12-18,10,232.15,3.45,179.31,2420.72,PayPal,Cancelled
437,182,69,2026-01-22,8,332.93,15.03,181.05,2444.17,Debit Card,Cancelled
47,1,69,2025-04-17,10,236.96,16.73,157.85,2131.02,Credit Card,Pending
337,83,7,2024-05-12,2,409.54,19.53,52.73,711.84,Credit Card,Refunded
738,86,23,2024-05-22,6,402.25,3.42,186.48,2517.43,Debit Card,Cancelled
859,150,44,2025-12-13,1,116.68,17.1,7.74,104.47,Cash,Refunded
793,165,16,2024-07-02,6,465.96,9.45,202.52,2734.09,PayPal,Refunded
640,98,23,2025-09-29,9,485.19,8.45,319.82,4317.54,Credit Card,Pending
808,50,59,2025-10-11,8,31.89,7.16,18.95,255.8,PayPal,Refunded
348,182,62,2025-02-21,6,256.2,7.13,114.21,1541.81,Cash,Completed
535,176,51,2024-05-06,8,403.81,13.97,222.33,3001.52,Credit Card,Cancelled
706,168,15,2024-08-16,2,171.1,2.35,26.73,360.89,Cash,Refunded
838,138,5,2024-12-21,1,378.65,2.36,29.58,399.29,Bank Transfer,Refunded
414,162,25,2024-08-21,1,229.69,1.09,18.17,245.36,Bank Transfer,Completed
203,161,91,2024-07-30,3,26.9,10.05,5.81,78.4,PayPal,Cancelled
669,151,63,2025-05-08,1,191.27,1.44,15.08,203.6,Credit Card,Completed
75,17,53,2024-01-12,7,365.36,0.82,202.92,2739.47,Bank Transfer,Pending
809,15,98,2025-08-05,7,277.58,8.79,141.78,1914.05,PayPal,Refunded
911,154,77,2024-03-29,4,420.09,7.22,124.72,1683.76,Cash,Refunded
878,167,28,2024-09-28,6,129.56,3.28,60.15,812.01,PayPal,Cancelled
406,157,37,2025-08-12,5,418.82,7.98,154.16,2081.15,Debit Card,Cancelled
434,142,35,2024-08-22,7,88.06,7.65,45.54,614.8,Debit Card,Completed
43,186,96,2025-06-25,7,151.78,7.43,78.68,1062.2,Bank Transfer,Pending
28,88,57,2025-06-17,7,418.21,16.26,196.12,2647.58,Bank Transfer,Completed
58,112,80,2025-08-09,5,339.1,17.91,111.35,1503.18,PayPal,Refunded
119,169,78,2024-04-13,5,394.82,11.07,140.45,1896.01,PayPal,Refunded
498,110,63,2024-11-13,2,137.5,13.49,19.03,256.93,Credit Card,Refunded
950,5,80,2025-09-04,8,282.0,3.83,173.57,2343.16,Debit Card,Refunded
957,186,27,2025-11-28,9,260.76,8.57,171.66,2317.37,PayPal,Completed
7,77,72,2025-01-13,2,112.48,10.39,16.13,217.71,Credit Card,Completed
755,82,28,2025-01-09,3,279.63,19.79,53.83,726.7,Credit Card,Refunded
926,91,74,2025-04-07,10,162.78,8.39,119.3,1610.53,PayPal,Completed
369,150,9,2025-12-21,5,122.64,14.94,41.73,563.31,Debit Card,Pending
651,86,90,2024-11-03,1,387.75,10.19,27.86,376.1,Credit Card,Pending
661,56,14,2025-12-01,9,317.79,5.97,215.15,2904.51,Cash,Refunded
957,3,18,2024-08-11,6,417.38,15.5,169.29,2285.41,Credit Card,Completed
725,33,93,2024-08-09,9,17.28,4.65,11.86,160.15,Cash,Completed
666,184,98,2025-08-21,8,76.08,5.6,45.96,620.52,Debit Card,Pending
759,121,68,2024-04-10,4,169.21,17.35,44.75,604.16,Bank Transfer,Cancelled
321,142,98,2026-01-18,9,170.36,13.56,106.03,1431.36,PayPal,Cancelled
668,76,87,2025-04-30,8,283.48,13.14,157.59,2127.43,Cash,Completed
407,69,3,2024-01-29,2,432.16,10.74,61.72,833.21,Bank Transfer,Cancelled
765,170,66,2025-08-06,1,111.88,15.5,7.56,102.1,Credit Card,Cancelled
319,172,59,2025-09-08,4,260.06,19.17,67.27,908.09,Credit Card,Refunded
657,85,10,2025-03-28,8,443.77,18.47,231.56,3126.0,Debit Card,Pending
528,12,18,2025-05-05,1,357.05,19.29,23.05,311.23,Cash,Pending
494,149,70,2025-02-16,7,342.67,13.71,165.59,2235.42,Bank Transfer,Pending
597,51,97,2024-11-21,2,359.94,2.09,56.39,761.22,Credit Card,Pending
591,162,11,2024-11-06,8,342.16,4.06,210.09,2836.24,Bank Transfer,Cancelled
758,63,3,2025-04-12,5,150.57,10.12,54.13,730.79,PayPal,Pending
468,95,97,2025-06-04,8,421.29,2.01,264.21,3566.78,Debit Card,Refunded
635,25,56,2025-03-15,4,437.52,16.72,116.6,1574.06,Debit Card,Pending
234,3,62,2025-05-07,3,237.82,1.36,56.3,760.06,Cash,Pending
839,105,6,2025-05-12,7,469.67,5.41,248.79,3358.61,PayPal,Cancelled
160,44,1,2025-10-08,10,157.74,16.28,105.65,1426.25,Credit Card,Completed
13,87,93,2025-04-25,3,216.57,6.45,48.62,656.43,Bank Transfer,Refunded
264,175,46,2024-05-12,2,170.44,10.2,24.49,330.6,Cash,Pending
701,76,85,2024-03-23,10,222.11,16.75,147.93,1996.99,Bank Transfer,Pending
950,139,76,2025-12-12,9,378.11,15.28,230.64,3113.65,Debit Card,Pending
530,104,46,2024-05-29,5,221.93,8.2,81.49,1100.15,Cash,Cancelled
847,172,26,2024-02-29,8,128.9,6.84,76.85,1037.52,Credit Card,Refunded
303,90,62,2024-10-15,2,56.69,11.01,8.07,108.97,Debit Card,Pending
665,166,38,2025-07-31,4,122.61,13.69,33.86,457.16,Bank Transfer,Cancelled
8,20,45,2025-10-14,8,307.14,10.37,176.19,2378.5,Cash,Cancelled
227,42,33,2024-09-28,10,480.23,5.38,363.51,4907.45,PayPal,Refunded
336,45,23,2024-08-01,8,353.73,4.11,217.08,2930.62,Cash,Completed
271,132,54,2024-04-21,1,327.44,7.82,24.15,325.98,Bank Transfer,Cancelled
249,82,62,2025-02-09,7,197.15,19.06,89.36,1206.37,Cash,Pending
362,80,98,2025-08-01,3,410.8,4.79,93.87,1267.24,Debit Card,Completed
900,172,27,2024-06-10,6,221.76,5.77,100.3,1354.09,Credit Card,Refunded
786,165,27,2025-11-20,3,398.76,1.62,94.15,1271.05,Cash,Refunded
884,2,48,2024-01-12,6,125.98,16.22,50.66,683.94,Debit Card,Completed
180,175,65,2024-01-08,5,159.22,5.57,60.14,811.9,Cash,Pending
933,113,64,2024-11-04,8,257.99,19.26,133.31,1799.72,Credit Card,Refunded
795,34,60,2024-02-09,10,98.45,19.57,63.35,855.18,PayPal,Refunded
887,139,81,2024-08-13,2,121.74,17.75,16.02,216.28,Debit Card,Pending
755,39,56,2025-02-10,10,305.23,8.01,224.62,3032.44,Debit Card,Completed
601,79,4,2025-07-02,2,55.35,9.31,8.03,108.43,Cash,Cancelled
759,14,95,2024-07-14,5,180.33,19.21,58.28,786.72,Credit Card,Cancelled
2,169,79,2024-07-13,5,163.25,19.85,52.34,706.56,PayPal,Completed
